gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,unitId_单位代码,data_数据
414,414,1,3,NULL
414,414,2,2,420
414,414,3,1,NULL
415,415,1,3,NULL
415,415,2,2,498.2
415,415,3,1,12.4
416,416,1,3,NULL
416,416,2,2,1420.5
416,416,3,1,16
417,417,1,3,NULL
417,417,2,2,1742
417,417,3,1,21.6
418,418,1,3,NULL
418,418,2,2,1050
418,418,3,1,21.6
419,419,1,3,NULL
419,419,2,2,415.2
419,419,3,1,14.2
420,420,1,3,3.5
420,420,2,2,1181
420,420,3,1,15
421,421,1,3,NULL
421,421,2,2,1300
421,421,3,1,19.8
422,422,1,3,40
422,422,2,2,586.7
422,422,3,1,11.7
423,423,1,3,NULL
423,423,2,2,200
423,423,3,1,13
424,424,1,3,NULL
424,424,2,2,635.1
424,424,3,1,12.9
425,425,1,3,3.8
425,425,2,2,1124.7
425,425,3,1,15.4
427,427,1,3,495
427,427,2,2,1600
427,427,3,1,18
428,428,1,3,NULL
428,428,2,2,114.7
428,428,3,1,NULL
429,429,1,3,NULL
429,429,2,2,1300
429,429,3,1,21.6
431,431,1,3,NULL
431,431,2,2,551.2
431,431,3,1,10.3
432,432,1,3,638
432,432,2,2,1350
432,432,3,1,14
433,433,1,3,NULL
433,433,2,2,NULL
433,433,3,1,13.1
434,434,1,3,700
434,434,2,2,480
434,434,3,1,10.5
435,435,1,3,NULL
435,435,2,2,592.8
435,435,3,1,11.1
436,436,1,3,NULL
436,436,2,2,1700
436,436,3,1,22
437,437,1,3,1740
437,437,2,2,155
437,437,3,1,4
438,438,1,3,NULL
438,438,2,2,NULL
438,438,3,1,15.8
439,439,1,3,500
439,439,2,2,627.4
439,439,3,1,11.7
441,441,1,3,NULL
441,441,2,2,847
441,441,3,1,14
442,442,1,3,NULL
442,442,2,2,600
442,442,3,1,10.4
443,443,1,3,4
443,443,2,2,573.9
443,443,3,1,9
444,444,1,3,NULL
444,444,2,2,1073
444,444,3,1,15.5
445,445,1,3,334.2
445,445,2,2,NULL
445,445,3,1,16.3
447,447,1,3,NULL
447,447,2,2,118
447,447,3,1,NULL
448,448,1,3,NULL
448,448,2,2,NULL
448,448,3,1,13.8
449,449,1,3,NULL
449,449,2,2,629.9
449,449,3,1,12.9
450,450,1,3,NULL
450,450,2,2,460
450,450,3,1,9
451,451,1,3,NULL
451,451,2,2,1882
451,451,3,1,22.4
452,452,1,3,6
452,452,2,2,1143.3
452,452,3,1,20.3
453,453,1,3,4.2
453,453,2,2,552
453,453,3,1,12.3
456,456,1,3,NULL
456,456,2,2,1025.6
456,456,3,1,25
457,457,1,3,16
457,457,2,2,400
457,457,3,1,12.5
458,458,1,3,800
458,458,2,2,950
458,458,3,1,15
459,459,1,3,NULL
459,459,2,2,650
459,459,3,1,13
460,460,1,3,369
460,460,2,2,NULL
460,460,3,1,NULL
462,462,1,3,NULL
462,462,2,2,1725
462,462,3,1,21.7
463,463,1,3,NULL
